epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,543.52,0.59936,0.93939,1,0.59067,0.000236494,0.000236494,0.000236494
2,970.747,0.10873,0.93939,1,0.77578,0.000451006,0.000451006,0.000451006
3,1469.24,0.10048,0.9697,1,0.58055,0.000641957,0.000641957,0.000641957
4,1934.49,0.0898,0.9697,1,0.56146,0.000607971,0.000607971,0.000607971
5,2408.94,0.07352,0.90909,1,0.61488,0.000572628,0.000572628,0.000572628
6,2864.28,0.06358,1,1,0.56246,0.000537285,0.000537285,0.000537285
7,3326.93,0.04595,1,1,0.55437,0.000501942,0.000501942,0.000501942
8,4514.98,0.06402,0.9697,1,0.57591,0.000466599,0.000466599,0.000466599
